"","Road_ID","UNIT_ID","Transect_ID","Point_ID","Year","Date","Species_Alpha_Code","Time_Interval","Sighting_angle","Exact_Distance","Distance_category","Flyover2","Sex","Detection_Type","Group.size","Notes","Identity"
"68","TELL",1,3,20,2019,"19-Jun-2019","GCSP",6,"-999","-999",201,"N","U","A","1","","TELL-01-03-20-2019"
"69","TELL",1,3,20,2019,"19-Jun-2019","LALO",7,"-999","-999",101,"N","U","A","1","","TELL-01-03-20-2019"
"70","TELL",1,3,20,2019,"19-Jun-2019","LALO",8,"-999","-999",1,"N","U","A","1","","TELL-01-03-20-2019"
"71","TELL",1,3,20,2019,"19-Jun-2019","SAVS",0,"-999","-999",1,"N","U","A","1","","TELL-01-03-20-2019"
"72","TELL",1,3,21,2019,"19-Jun-2019","BLUE",3,"-999","-999",201,"N","U","A","2","","TELL-01-03-21-2019"
"73","TELL",1,3,21,2019,"19-Jun-2019","FOSP",0,"-999","-999",201,"N","U","A","1","","TELL-01-03-21-2019"
"74","TELL",1,3,21,2019,"19-Jun-2019","GCSP",0,"-999","-999",101,"N","U","A","1","","TELL-01-03-21-2019"
"75","TELL",1,3,21,2019,"19-Jun-2019","LALO",2,"-999","-999",1,"N","U","A","1","","TELL-01-03-21-2019"
"76","TELL",1,3,21,2019,"19-Jun-2019","LALO",5,"-999","-999",101,"N","U","VA","1","","TELL-01-03-21-2019"
"77","TELL",1,3,21,2019,"19-Jun-2019","SAVS",0,"-999","-999",1,"N","U","A","2","","TELL-01-03-21-2019"
"78","TELL",1,3,21,2019,"19-Jun-2019","SAVS",0,"-999","-999",101,"N","U","A","2","","TELL-01-03-21-2019"
"79","TELL",1,3,21,2019,"19-Jun-2019","WISN",7,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-21-2019"
"80","KOUG",5,10,1,2019,"1-Jul-2019","AMGP",2,"236","175",NA,"N","U","A","1","","KOUG-05-10-01-2019"
"81","KOUG",5,10,1,2019,"1-Jul-2019","LTJA",0,"-999","-999",NA,"Y","U","VA","1","","KOUG-05-10-01-2019"
"82","KOUG",5,10,1,2019,"1-Jul-2019","LTJA",6,"-999","-999",NA,"Y","U","V","1","","KOUG-05-10-01-2019"
"83","KOUG",5,10,1,2019,"1-Jul-2019","SAVS",6,"-999","-999",101,"N","U","A","1","","KOUG-05-10-01-2019"
"84","KOUG",5,10,1,2019,"1-Jul-2019","WESA",0,"-999","-999",1,"N","U","AV","1","","KOUG-05-10-01-2019"
"85","COUN",3,12,1,2019,"15-May-2019","AMRO",0,"80","134",NA,"N","U","AV","2","","COUN-03-12-01-2019"
"86","COUN",3,12,1,2019,"15-May-2019","AMRO",5,"124","200",NA,"N","U","A","1","","COUN-03-12-01-2019"
"87","COUN",3,12,1,2019,"15-May-2019","ATSP",0,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"88","COUN",3,12,1,2019,"15-May-2019","CORE",0,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"89","COUN",3,12,1,2019,"15-May-2019","CORE",7,"-999","-999",NA,"Y","U","V","1","","COUN-03-12-01-2019"
"90","COUN",3,12,1,2019,"15-May-2019","GCSP",3,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"91","COUN",3,12,1,2019,"15-May-2019","GCSP",4,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"92","COUN",3,12,1,2019,"15-May-2019","GWTE",3,"108","100",NA,"N","U","A","1","","COUN-03-12-01-2019"
"93","COUN",3,12,1,2019,"15-May-2019","OCWA",7,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"94","COUN",3,12,1,2019,"15-May-2019","WCSP",2,"-999","-999",1,"N","U","A","2","","COUN-03-12-01-2019"
"95","COUN",3,12,1,2019,"15-May-2019","WCSP",4,"-999","-999",1,"N","U","A","1","","COUN-03-12-01-2019"
"96","COUN",3,12,1,2019,"15-May-2019","WCSP",9,"-999","-999",101,"N","U","A","2","","COUN-03-12-01-2019"
"97","COUN",3,12,1,2019,"15-May-2019","WIPT",0,"329","100",NA,"N","M","A","1","","COUN-03-12-01-2019"
"98","COUN",3,12,1,2019,"15-May-2019","WIPT",2,"64","300",NA,"N","M","A","1","","COUN-03-12-01-2019"
"99","COUN",3,12,1,2019,"15-May-2019","WIPT",8,"158","250",NA,"N","M","A","1","","COUN-03-12-01-2019"
"100","COUN",5,12,1,2019,"18-May-2019","ARTE",9,"-999","-999",NA,"Y","U","AV","1","","COUN-05-12-01-2019"
"101","COUN",5,12,1,2019,"18-May-2019","ATSP",1,"-999","-999",1,"N","U","A","1","","COUN-05-12-01-2019"
"102","COUN",5,12,1,2019,"18-May-2019","CORE",1,"-999","-999",1,"N","U","VA","1","","COUN-05-12-01-2019"
"103","COUN",5,12,1,2019,"18-May-2019","FOSP",1,"-999","-999",101,"N","U","A","1","","COUN-05-12-01-2019"
"104","COUN",5,12,1,2019,"18-May-2019","LOON",0,"-999","-999",NA,"Y","U","AV","2","","COUN-05-12-01-2019"
"105","COUN",5,12,1,2019,"18-May-2019","MED SANDPIPER",2,"102","36",NA,"N","U","V","1","ROCK?","COUN-05-12-01-2019"
"106","COUN",5,12,1,2019,"18-May-2019","MEGU",4,"74","-999",201,"N","U","AV","4","","COUN-05-12-01-2019"
"107","COUN",5,12,1,2019,"18-May-2019","SANDPIPER - SM",0,"-999","-999",201,"N","U","A","1","","COUN-05-12-01-2019"
"108","COUN",5,12,1,2019,"18-May-2019","SAVS",1,"-999","-999",1,"N","U","A","1","","COUN-05-12-01-2019"
"109","COUN",5,12,1,2019,"18-May-2019","SAVS",1,"-999","-999",101,"N","U","A","1","","COUN-05-12-01-2019"
"110","COUN",5,12,1,2019,"18-May-2019","WCSP",7,"-999","-999",101,"N","U","A","1","","COUN-05-12-01-2019"
"111","COUN",5,12,1,2019,"18-May-2019","WCSP",9,"-999","-999",201,"N","U","A","1","","COUN-05-12-01-2019"
"112","COUN",5,12,1,2019,"18-May-2019","WISN",4,"-999","-999",NA,"Y","U","VA","1","","COUN-05-12-01-2019"
"113","KOUG",5,17,1,2019,"17-Jun-2019","ARTE",6,"-999","-999",NA,"Y","U","V","1","","KOUG-05-17-01-2019"
"114","KOUG",5,17,1,2019,"17-Jun-2019","ATSP",0,"-999","-999",1,"N","U","A","2","","KOUG-05-17-01-2019"
"115","KOUG",5,17,1,2019,"17-Jun-2019","CANG",4,"-999","-999",NA,"Y","U","AV","6","FLYING - CACKLERS?","KOUG-05-17-01-2019"
"116","KOUG",5,17,1,2019,"17-Jun-2019","CORE",4,"-999","-999",NA,"Y","U","A","1","","KOUG-05-17-01-2019"
"117","KOUG",5,17,1,2019,"17-Jun-2019","GLGU",2,"-999","-999",NA,"Y","U","VA","4","FLYING","KOUG-05-17-01-2019"
"118","KOUG",5,17,1,2019,"17-Jun-2019","LALO",2,"-999","-999",1,"N","U","AV","2","","KOUG-05-17-01-2019"
"119","KOUG",5,17,1,2019,"17-Jun-2019","LALO",5,"-999","-999",101,"N","U","V","1","","KOUG-05-17-01-2019"
"120","KOUG",5,17,1,2019,"17-Jun-2019","LTJA",9,"-999","-999",NA,"Y","U","V","2","FLYING AWAY","KOUG-05-17-01-2019"
"121","KOUG",5,17,1,2019,"17-Jun-2019","RBME",7,"-999","-999",NA,"Y","U","V","5","FLYING UP RIVER","KOUG-05-17-01-2019"
"122","KOUG",5,17,1,2019,"17-Jun-2019","SAVS",0,"-999","-999",1,"N","U","A","1","","KOUG-05-17-01-2019"
"123","KOUG",5,17,1,2019,"17-Jun-2019","WESA",3,"-999","-999",101,"N","U","A","2","","KOUG-05-17-01-2019"
"124","KOUG",5,17,1,2019,"17-Jun-2019","WIPT",0,"293","215",NA,"N","M","A","1","","KOUG-05-17-01-2019"
"125","KOUG",5,17,1,2019,"17-Jun-2019","WISN",0,"-999","-999",NA,"Y","U","AV","2","","KOUG-05-17-01-2019"
"126","TELL",3,1,1,2019,"22-May-2019","AMGP",6,"239","127",NA,"N","U","AV","1","","TELL-03-01-01-2019"
"127","TELL",3,1,1,2019,"22-May-2019","AMGP",9,"-999","-999",201,"N","U","A","1","","TELL-03-01-01-2019"
"128","TELL",3,1,1,2019,"22-May-2019","AMPI",8,"-999","-999",101,"N","U","A","1","","TELL-03-01-01-2019"
"129","TELL",3,1,1,2019,"22-May-2019","GCSP",0,"-999","-999",101,"N","U","A","1","","TELL-03-01-01-2019"
"130","TELL",3,1,1,2019,"22-May-2019","GCSP",2,"-999","-999",101,"N","U","A","1","","TELL-03-01-01-2019"
"131","TELL",3,1,1,2019,"22-May-2019","LALO",1,"-999","-999",1,"N","U","A","1","","TELL-03-01-01-2019"
"132","TELL",3,1,1,2019,"22-May-2019","LALO",2,"-999","-999",101,"N","U","A","1","","TELL-03-01-01-2019"
"133","TELL",3,1,1,2019,"22-May-2019","LALO",3,"-999","-999",1,"N","U","A","1","","TELL-03-01-01-2019"
"134","TELL",3,1,1,2019,"22-May-2019","LBDO",9,"307","200",NA,"N","U","A","1","","TELL-03-01-01-2019"
"135","TELL",3,1,1,2019,"22-May-2019","LTJA",1,"-999","-999",NA,"Y","U","VA","1","","TELL-03-01-01-2019"
"136","TELL",3,1,1,2019,"22-May-2019","SANDPIPER",8,"-999","-999",NA,"Y","U","A","1","","TELL-03-01-01-2019"
"137","TELL",3,1,1,2019,"22-May-2019","SAVS",1,"-999","-999",1,"N","U","A","1","","TELL-03-01-01-2019"
"138","TELL",3,1,1,2019,"22-May-2019","WIPT",0,"-999","-999",NA,"Y","M","V","1","","TELL-03-01-01-2019"
"139","TELL",3,1,1,2019,"22-May-2019","WISN",2,"-999","-999",NA,"Y","U","A","1","","TELL-03-01-01-2019"
"140","COUN",1,3,1,2019,"12-Jun-2019","CORE",0,"-999","-999",NA,"Y","U","AV","2","","COUN-01-03-01-2019"
"141","COUN",1,3,1,2019,"12-Jun-2019","CORE",6,"-999","-999",1,"N","U","A","1","","COUN-01-03-01-2019"
"142","COUN",1,3,1,2019,"12-Jun-2019","FOSP",0,"-999","-999",101,"N","U","A","1","","COUN-01-03-01-2019"
"143","COUN",1,3,1,2019,"12-Jun-2019","FOSP",0,"-999","-999",1,"N","U","A","1","","COUN-01-03-01-2019"
"144","COUN",1,3,1,2019,"12-Jun-2019","GCSP",0,"-999","-999",201,"N","U","A","1","","COUN-01-03-01-2019"
"145","COUN",1,3,1,2019,"12-Jun-2019","GCSP",4,"-999","-999",201,"N","U","A","1","","COUN-01-03-01-2019"
"146","COUN",1,3,1,2019,"12-Jun-2019","GCTH",0,"-999","-999",101,"N","U","A","1","","COUN-01-03-01-2019"
"147","COUN",1,3,1,2019,"12-Jun-2019","GCTH",1,"-999","-999",1,"N","U","A","1","","COUN-01-03-01-2019"
"148","COUN",1,3,1,2019,"12-Jun-2019","VATH",0,"-999","-999",101,"N","U","A","1","","COUN-01-03-01-2019"
"149","COUN",1,3,1,2019,"12-Jun-2019","YEWA",1,"-999","-999",1,"N","U","A","2","","COUN-01-03-01-2019"
"150","TELL",1,6,1,2019,"8-Jun-2019","ATSP",1,"-999","-999",101,"N","U","A","1","","TELL-01-06-01-2019"
"151","TELL",1,6,1,2019,"8-Jun-2019","BLUE",4,"-999","-999",201,"N","U","A","1","","TELL-01-06-01-2019"
"152","TELL",1,6,1,2019,"8-Jun-2019","CORE",2,"-999","-999",NA,"Y","U","AV","1","","TELL-01-06-01-2019"
"153","TELL",1,6,1,2019,"8-Jun-2019","FOSP",0,"-999","-999",101,"N","U","A","2","","TELL-01-06-01-2019"
"154","TELL",1,6,1,2019,"8-Jun-2019","GCSP",0,"-999","-999",101,"N","U","A","3","","TELL-01-06-01-2019"
"155","TELL",1,6,1,2019,"8-Jun-2019","GCTH",2,"-999","-999",101,"N","U","A","1","","TELL-01-06-01-2019"
"156","TELL",1,6,1,2019,"8-Jun-2019","NOWA",0,"-999","-999",101,"N","U","A","1","","TELL-01-06-01-2019"
"157","TELL",1,6,1,2019,"8-Jun-2019","NOWA",6,"-999","-999",201,"N","U","A","1","","TELL-01-06-01-2019"
"158","TELL",1,6,1,2019,"8-Jun-2019","SAVS",1,"-999","-999",1,"N","U","A","2","","TELL-01-06-01-2019"
"159","TELL",1,6,1,2019,"8-Jun-2019","SQUIR",1,"68","165",NA,"N","U","V","1","","TELL-01-06-01-2019"
"160","TELL",1,6,1,2019,"8-Jun-2019","SQUIR",7,"36","211",NA,"N","U","V","1","","TELL-01-06-01-2019"
"161","TELL",1,6,1,2019,"8-Jun-2019","WIPT",9,"59","525",NA,"N","M","V","1","","TELL-01-06-01-2019"
"162","TELL",1,6,1,2019,"8-Jun-2019","YEWA",7,"-999","-999",1,"N","U","AV","1","","TELL-01-06-01-2019"
"163","TELL",5,10,1,2019,"10-Jun-2019","AMPI",4,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"164","TELL",5,10,1,2019,"10-Jun-2019","CORE",2,"-999","-999",NA,"Y","U","A","1","","TELL-05-10-01-2019"
"165","TELL",5,10,1,2019,"10-Jun-2019","FOSP",0,"-999","-999",1,"N","U","A","1","","TELL-05-10-01-2019"
"166","TELL",5,10,1,2019,"10-Jun-2019","FOSP",0,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"167","TELL",5,10,1,2019,"10-Jun-2019","GCSP",0,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"168","TELL",5,10,1,2019,"10-Jun-2019","GCSP",2,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"169","TELL",5,10,1,2019,"10-Jun-2019","GCSP",9,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"170","TELL",5,10,1,2019,"10-Jun-2019","SAVS",8,"-999","-999",101,"N","U","A","1","","TELL-05-10-01-2019"
"171","TELL",5,10,1,2019,"10-Jun-2019","WISN",1,"-999","-999",NA,"Y","U","A","1","","TELL-05-10-01-2019"
"172","COUN",2,15,1,2019,"28-Jun-2019","CORE",4,"-999","-999",NA,"Y","U","A","1","","COUN-02-15-01-2019"
"173","COUN",2,15,1,2019,"28-Jun-2019","GCSP",0,"-999","-999",1,"N","U","A","1","","COUN-02-15-01-2019"
"174","COUN",2,15,1,2019,"28-Jun-2019","GCSP",0,"-999","-999",101,"N","U","A","1","","COUN-02-15-01-2019"
"175","COUN",2,15,1,2019,"28-Jun-2019","GCSP",0,"-999","-999",201,"N","U","A","1","","COUN-02-15-01-2019"
"176","COUN",2,15,1,2019,"28-Jun-2019","GYRF",3,"65","359",NA,"N","U","V","1","PERCHED ON ROCKY OUTCROPPING, THEN FLEW AND 2 SMALLER BIRDS WERE ON IT","COUN-02-15-01-2019"
