"","lat_dec","long_dec","id"
"158",65.0375,-166.186111111111,"TELL_3_21_9"
"159",65.0294444444444,-166.071944444444,"TELL_3_21_8"
"160",64.8394444444444,-166.154166666667,"TELL_3_21_10"
"161",65.0205555555555,-166.22,"TELL_3_21_7"
"162",64.9352777777778,-166.156388888889,"TELL_3_21_5"
"163",64.8419444444444,-166.238055555556,"TELL_3_21_3"
"164",65.6308333333333,-164.867222222222,"KOUG_1_3_17"
"165",65.5383333333333,-164.827777777778,"KOUG_1_3_15"
"166",65.4608333333333,-165.006944444444,"KOUG_1_3_13"
"167",65.6375,-164.939722222222,"KOUG_1_3_11"
"168",65.5522222222222,-164.888611111111,"KOUG_1_3_8"
"169",65.4672222222222,-164.829444444444,"KOUG_1_3_6"
"170",65.6333333333333,-164.911388888889,"KOUG_1_3_3"
"171",65.4527777777778,-164.980277777778,"KOUG_1_3_5"
"172",65.5419444444445,-165.028055555556,"KOUG_1_3_7"
"173",65.6269444444444,-164.829444444444,"KOUG_1_3_10"
"174",65.5252777777778,-164.878611111111,"KOUG_1_17_14"
"175",65.4463888888889,-164.803333333333,"KOUG_1_17_11"
"176",65.3613888888889,-164.741944444444,"KOUG_1_17_8"
"177",65.5380555555556,-164.942777777778,"KOUG_1_17_5"
"178",65.4425,-164.766666666667,"KOUG_1_17_2"
"179",65.5277777777778,-164.826388888889,"KOUG_1_17_4"
"180",65.4313888888889,-164.911944444444,"KOUG_1_17_1"
"181",65.5175,-164.715555555556,"KOUG_1_17_3"
"182",65.3508333333333,-164.89,"KOUG_1_17_7"
"183",65.4311111111111,-164.703055555556,"KOUG_1_17_10"
"184",64.7113888888889,-164.507777777778,"COUN_3_10_18"
"185",64.8772222222222,-164.331944444444,"COUN_3_10_14"
"186",64.7819444444444,-164.42,"COUN_3_10_10"
"187",64.8658333333333,-164.4825,"COUN_3_10_13"
"188",64.6883333333333,-164.284444444444,"COUN_3_10_16"
"189",64.7713888888889,-164.345833333333,"COUN_3_10_20"
"190",64.8669444444444,-164.260833333333,"COUN_3_10_25"
"191",64.7002777777778,-164.434722222222,"COUN_3_10_29"
"192",64.8775,-164.371944444444,"COUN_3_10_26"
"193",64.7938888888889,-164.308333333333,"COUN_3_10_22"
"194",65.3611111111111,-166.389166666667,"TELL_1_19_4"
"195",65.1938888888889,-166.569444444444,"TELL_1_19_7"
"196",65.2877777777778,-166.488888888889,"TELL_1_19_12"
"197",65.3816666666667,-166.408055555556,"TELL_1_19_17"
"198",65.2977777777778,-166.351111111111,"TELL_1_19_13"
"199",65.3891666666667,-166.524166666667,"TELL_1_19_18"
"200",65.2086111111111,-166.443055555556,"TELL_1_19_21"
"201",65.4047222222222,-166.643888888889,"TELL_1_19_19"
"202",65.3027777777778,-166.459166666667,"TELL_1_19_14"
"203",65.2091666666667,-166.54,"TELL_1_19_9"
"204",65.2022222222222,-166.424722222222,"TELL_1_19_8"
"205",65.3688888888889,-166.504722222222,"TELL_1_19_5"
"206",65.2855555555555,-166.508333333333,"TELL_1_6_5"
"207",65.1197222222222,-166.429444444444,"TELL_1_6_8"
"208",65.2122222222222,-166.611111111111,"TELL_1_6_11"
"209",65.3069444444444,-166.528611111111,"TELL_1_6_14"
"210",65.2197222222222,-166.462777777778,"TELL_1_6_12"
"211",65.1336111111111,-166.659444444444,"TELL_1_6_10"
"212",65.1252777777778,-166.538055555556,"TELL_1_6_9"
"213",65.2938888888889,-166.624166666667,"TELL_1_6_6"
"214",65.2,-166.444166666667,"TELL_1_6_2"
"215",65.2033333333333,-166.589444444444,"TELL_1_6_1"
"216",64.6597222222222,-165.788611111111,"TELL_5_10_1"
"217",64.7444444444444,-165.5925,"TELL_5_10_2"
"218",64.8294444444444,-165.657777777778,"TELL_5_10_3"
"219",64.6525,-165.723611111111,"TELL_5_10_5"
"220",64.7386111111111,-165.645277777778,"TELL_5_10_9"
"221",64.6616666666667,-165.575,"TELL_5_10_6"
