"","road","unit","transect","point","year","date","species","time_int","distance","dist_cat","flyover","count","id"
"86","TELL",3,1,1,2019,"22-May-2019","LALO",3,"NA",1,"N","1","TELL_3_1_1"
"87","TELL",3,1,1,2019,"22-May-2019","LBDO",9,"200",NA,"N","1","TELL_3_1_1"
"88","TELL",3,1,1,2019,"22-May-2019","SAVS",1,"NA",1,"N","1","TELL_3_1_1"
"89","COUN",1,3,1,2019,"12-Jun-2019","CORE",6,"NA",1,"N","1","COUN_1_3_1"
"90","COUN",1,3,1,2019,"12-Jun-2019","FOSP",0,"NA",101,"N","1","COUN_1_3_1"
"91","COUN",1,3,1,2019,"12-Jun-2019","FOSP",0,"NA",1,"N","1","COUN_1_3_1"
"92","COUN",1,3,1,2019,"12-Jun-2019","GCTH",0,"NA",101,"N","1","COUN_1_3_1"
"93","COUN",1,3,1,2019,"12-Jun-2019","GCTH",1,"NA",1,"N","1","COUN_1_3_1"
"94","COUN",1,3,1,2019,"12-Jun-2019","VATH",0,"NA",101,"N","1","COUN_1_3_1"
"95","COUN",1,3,1,2019,"12-Jun-2019","YEWA",1,"NA",1,"N","2","COUN_1_3_1"
"96","TELL",1,6,1,2019,"8-Jun-2019","ATSP",1,"NA",101,"N","1","TELL_1_6_1"
"97","TELL",1,6,1,2019,"8-Jun-2019","FOSP",0,"NA",101,"N","2","TELL_1_6_1"
"98","TELL",1,6,1,2019,"8-Jun-2019","GCSP",0,"NA",101,"N","3","TELL_1_6_1"
"99","TELL",1,6,1,2019,"8-Jun-2019","GCTH",2,"NA",101,"N","1","TELL_1_6_1"
"100","TELL",1,6,1,2019,"8-Jun-2019","NOWA",0,"NA",101,"N","1","TELL_1_6_1"
"101","TELL",1,6,1,2019,"8-Jun-2019","SAVS",1,"NA",1,"N","2","TELL_1_6_1"
"102","TELL",1,6,1,2019,"8-Jun-2019","SQUIR",1,"165",NA,"N","1","TELL_1_6_1"
"103","TELL",1,6,1,2019,"8-Jun-2019","SQUIR",7,"211",NA,"N","1","TELL_1_6_1"
"104","TELL",1,6,1,2019,"8-Jun-2019","YEWA",7,"NA",1,"N","1","TELL_1_6_1"
"105","TELL",5,10,1,2019,"10-Jun-2019","AMPI",4,"NA",101,"N","1","TELL_5_10_1"
"106","TELL",5,10,1,2019,"10-Jun-2019","FOSP",0,"NA",1,"N","1","TELL_5_10_1"
"107","TELL",5,10,1,2019,"10-Jun-2019","FOSP",0,"NA",101,"N","1","TELL_5_10_1"
"108","TELL",5,10,1,2019,"10-Jun-2019","GCSP",0,"NA",101,"N","1","TELL_5_10_1"
"109","TELL",5,10,1,2019,"10-Jun-2019","GCSP",2,"NA",101,"N","1","TELL_5_10_1"
"110","TELL",5,10,1,2019,"10-Jun-2019","GCSP",9,"NA",101,"N","1","TELL_5_10_1"
"111","TELL",5,10,1,2019,"10-Jun-2019","SAVS",8,"NA",101,"N","1","TELL_5_10_1"
"112","COUN",2,15,1,2019,"28-Jun-2019","GCSP",0,"NA",1,"N","1","COUN_2_15_1"
"113","COUN",2,15,1,2019,"28-Jun-2019","GCSP",0,"NA",101,"N","1","COUN_2_15_1"
"114","COUN",2,15,1,2019,"28-Jun-2019","GYRF",3,"359",NA,"N","1","COUN_2_15_1"
"115","KOUG",3,16,1,2019,"18-Jul-2019","CORE",6,"NA",1,"N","1","KOUG_3_16_1"
"116","KOUG",1,17,1,2019,"4-Jun-2019","ATSP",0,"NA",101,"N","1","KOUG_1_17_1"
"117","KOUG",1,17,1,2019,"4-Jun-2019","ATSP",1,"NA",1,"N","1","KOUG_1_17_1"
"118","KOUG",1,17,1,2019,"4-Jun-2019","FOSP",0,"NA",101,"N","1","KOUG_1_17_1"
"119","KOUG",1,17,1,2019,"4-Jun-2019","SAVS",0,"NA",1,"N","1","KOUG_1_17_1"
"120","KOUG",1,17,1,2019,"4-Jun-2019","SAVS",2,"NA",1,"N","1","KOUG_1_17_1"
"121","KOUG",4,19,1,2019,"11-May-2019","ATSP",1,"80",NA,"N","1","KOUG_4_19_1"
"122","KOUG",4,19,1,2019,"11-May-2019","ATSP",2,"75",NA,"N","1","KOUG_4_19_1"
"123","KOUG",4,19,1,2019,"11-May-2019","CORE",5,"48",NA,"N","2","KOUG_4_19_1"
"124","KOUG",4,19,1,2019,"11-May-2019","CORE",6,"32",NA,"N","1","KOUG_4_19_1"
"125","KOUG",4,19,1,2019,"11-May-2019","SEOW",7,"130",NA,"N","1","KOUG_4_19_1"
"126","KOUG",4,19,1,2019,"11-May-2019","WIPT",4,"170",NA,"N","2","KOUG_4_19_1"
"127","COUN",4,19,1,2019,"15-Jun-2019","FOSP",7,"NA",101,"N","1","COUN_4_19_1"
"128","COUN",4,19,1,2019,"15-Jun-2019","GCSP",0,"NA",101,"N","1","COUN_4_19_1"
"129","COUN",4,19,1,2019,"15-Jun-2019","GCSP",2,"NA",1,"N","1","COUN_4_19_1"
"130","COUN",4,19,1,2019,"15-Jun-2019","GCTH",0,"NA",101,"N","1","COUN_4_19_1"
"131","COUN",4,19,1,2019,"15-Jun-2019","GCTH",2,"NA",1,"N","1","COUN_4_19_1"
"132","COUN",4,19,1,2019,"15-Jun-2019","SAVS",3,"NA",1,"N","1","COUN_4_19_1"
"133","COUN",4,19,1,2019,"15-Jun-2019","SONG",9,"NA",101,"N","3","COUN_4_19_1"
"134","COUN",4,19,1,2019,"15-Jun-2019","WIPT",9,"65",NA,"N","1","COUN_4_19_1"
"135","COUN",4,19,1,2019,"15-Jun-2019","YEWA",3,"NA",101,"N","1","COUN_4_19_1"
"136","TELL",3,21,1,2019,"1-Jun-2019","GCSP",0,"NA",1,"N","2","TELL_3_21_1"
"137","TELL",3,21,1,2019,"1-Jun-2019","GCSP",0,"NA",101,"N","1","TELL_3_21_1"
"138","TELL",3,21,1,2019,"1-Jun-2019","GCTH",1,"NA",101,"N","1","TELL_3_21_1"
"139","TELL",3,21,1,2019,"1-Jun-2019","LALO",0,"NA",1,"N","1","TELL_3_21_1"
"140","TELL",3,21,1,2019,"1-Jun-2019","PAGP",8,"172",NA,"N","1","TELL_3_21_1"
"141","TELL",3,21,1,2019,"1-Jun-2019","SAVS",0,"NA",1,"N","1","TELL_3_21_1"
"142","TELL",3,21,1,2019,"1-Jun-2019","SAVS",2,"NA",101,"N","1","TELL_3_21_1"
"143","TELL",3,21,1,2019,"1-Jun-2019","WESA",2,"NA",1,"N","1","TELL_3_21_1"
"144","TELL",3,21,1,2019,"1-Jun-2019","WHIM",5,"250",NA,"N","1","TELL_3_21_1"
"145","TELL",3,21,1,2019,"1-Jun-2019","WIPT",0,"175",NA,"N","1","TELL_3_21_1"
"146","TELL",3,21,1,2019,"1-Jun-2019","WIPT",3,"282",NA,"N","1","TELL_3_21_1"
"147","TELL",3,21,1,2019,"1-Jun-2019","WIPT",4,"120",NA,"N","1","TELL_3_21_1"
"148","TELL",3,21,1,2019,"1-Jun-2019","WIPT",7,"91",NA,"N","1","TELL_3_21_1"
"149","KOUG",3,21,1,2019,"14-Jul-2019","CORE",2,"NA",101,"N","1","KOUG_3_21_1"
"150","KOUG",3,21,1,2019,"14-Jul-2019","GCSP",0,"NA",1,"N","4","KOUG_3_21_1"
"151","KOUG",3,21,1,2019,"14-Jul-2019","LALO",2,"NA",1,"N","1","KOUG_3_21_1"
"152","KOUG",3,21,1,2019,"14-Jul-2019","SAVS",6,"NA",1,"N","1","KOUG_3_21_1"
"153","TELL",5,23,1,2019,"20-May-2019","GCSP",0,"NA",101,"N","1","TELL_5_23_1"
"154","TELL",5,23,1,2019,"20-May-2019","GCSP",6,"NA",101,"N","1","TELL_5_23_1"
"155","TELL",5,23,1,2019,"20-May-2019","LALO",4,"NA",101,"N","1","TELL_5_23_1"
"156","TELL",5,23,1,2019,"20-May-2019","SAVS",2,"NA",101,"N","1","TELL_5_23_1"
"157","TELL",5,23,1,2019,"20-May-2019","SAVS",7,"NA",1,"N","1","TELL_5_23_1"
"158","TELL",5,23,1,2019,"20-May-2019","WIPT",1,"250",NA,"N","1","TELL_5_23_1"
"159","TELL",5,23,1,2019,"20-May-2019","WIPT",4,"350",NA,"N","1","TELL_5_23_1"
"160","KOUG",5,10,2,2019,"1-Jul-2019","ATSP",8,"NA",101,"N","1","KOUG_5_10_2"
"161","KOUG",5,10,2,2019,"1-Jul-2019","LALO",4,"NA",101,"N","1","KOUG_5_10_2"
"162","KOUG",5,10,2,2019,"1-Jul-2019","PAGP",0,"77",NA,"N","2","KOUG_5_10_2"
"163","KOUG",5,10,2,2019,"1-Jul-2019","SAVS",0,"NA",101,"N","1","KOUG_5_10_2"
"164","KOUG",5,10,2,2019,"1-Jul-2019","WESA",0,"NA",101,"N","1","KOUG_5_10_2"
"165","KOUG",5,10,2,2019,"1-Jul-2019","WHIM",4,"300",NA,"N","1","KOUG_5_10_2"
"166","COUN",5,12,2,2019,"18-May-2019","AMRO",0,"170",NA,"N","1","COUN_5_12_2"
"167","COUN",5,12,2,2019,"18-May-2019","AMRO",3,"NA",101,"N","1","COUN_5_12_2"
"168","COUN",5,12,2,2019,"18-May-2019","ATSP",1,"NA",1,"N","1","COUN_5_12_2"
"169","COUN",5,12,2,2019,"18-May-2019","ATSP",1,"NA",101,"N","1","COUN_5_12_2"
"170","COUN",5,12,2,2019,"18-May-2019","GULL",4,"350",NA,"N","2","COUN_5_12_2"
"171","COUN",5,12,2,2019,"18-May-2019","SEPL",7,"18",NA,"N","2","COUN_5_12_2"
"172","COUN",2,1,2,2019,"20-Jun-2019","ARWA",3,"NA",1,"N","1","COUN_2_1_2"
"173","COUN",2,1,2,2019,"20-Jun-2019","ARWA",9,"NA",101,"N","1","COUN_2_1_2"
"174","COUN",2,1,2,2019,"20-Jun-2019","FOSP",0,"NA",1,"N","2","COUN_2_1_2"
"175","COUN",2,1,2,2019,"20-Jun-2019","GCSP",3,"NA",101,"N","2","COUN_2_1_2"
"176","COUN",2,1,2,2019,"20-Jun-2019","GCTH",1,"NA",1,"N","1","COUN_2_1_2"
"177","COUN",2,1,2,2019,"20-Jun-2019","VATH",1,"NA",101,"N","1","COUN_2_1_2"
"178","COUN",2,1,2,2019,"20-Jun-2019","YEWA",0,"NA",1,"N","1","COUN_2_1_2"
"179","TELL",1,6,2,2019,"8-Jun-2019","BTGO",5,"200",NA,"N","1","TELL_1_6_2"
"180","TELL",1,6,2,2019,"8-Jun-2019","LALO",0,"NA",1,"N","2","TELL_1_6_2"
"181","TELL",1,6,2,2019,"8-Jun-2019","LTJA",1,"329",NA,"N","1","TELL_1_6_2"
"182","TELL",1,6,2,2019,"8-Jun-2019","SAVS",0,"NA",1,"N","1","TELL_1_6_2"
"183","TELL",1,6,2,2019,"8-Jun-2019","SAVS",9,"NA",1,"N","1","TELL_1_6_2"
"184","TELL",1,6,2,2019,"8-Jun-2019","WESA",0,"NA",1,"N","1","TELL_1_6_2"
"185","TELL",5,10,2,2019,"10-Jun-2019","FOSP",0,"NA",101,"N","1","TELL_5_10_2"
"186","TELL",5,10,2,2019,"10-Jun-2019","GCSP",0,"NA",1,"N","2","TELL_5_10_2"
"187","TELL",5,10,2,2019,"10-Jun-2019","GCSP",2,"NA",1,"N","1","TELL_5_10_2"
"188","TELL",5,10,2,2019,"10-Jun-2019","GCTH",0,"NA",1,"N","1","TELL_5_10_2"
"189","TELL",5,10,2,2019,"10-Jun-2019","GCTH",4,"NA",101,"N","1","TELL_5_10_2"
"190","TELL",5,10,2,2019,"10-Jun-2019","WIWA",5,"NA",101,"N","1","TELL_5_10_2"
"191","TELL",5,10,2,2019,"10-Jun-2019","WIWA",5,"NA",101,"N","1","TELL_5_10_2"
"192","COUN",4,12,2,2019,"17-Jul-2019","GLGU",1,"200",NA,"N","12","COUN_4_12_2"
"193","COUN",4,12,2,2019,"17-Jul-2019","SAVS",4,"NA",1,"N","1","COUN_4_12_2"
"194","KOUG",5,13,2,2019,"7-Jul-2019","AMGP",6,"300",NA,"N","1","KOUG_5_13_2"
"195","KOUG",5,13,2,2019,"7-Jul-2019","AMPI",2,"NA",1,"N","1","KOUG_5_13_2"
"196","KOUG",5,13,2,2019,"7-Jul-2019","GCSP",0,"NA",101,"N","1","KOUG_5_13_2"
"197","KOUG",5,13,2,2019,"7-Jul-2019","GCSP",4,"NA",101,"N","1","KOUG_5_13_2"
"198","KOUG",5,13,2,2019,"7-Jul-2019","SAVS",0,"NA",1,"N","1","KOUG_5_13_2"
"199","KOUG",5,13,2,2019,"7-Jul-2019","SAVS",2,"NA",101,"N","1","KOUG_5_13_2"
"200","KOUG",5,13,2,2019,"7-Jul-2019","YEWA",0,"NA",101,"N","1","KOUG_5_13_2"
"201","COUN",2,15,2,2019,"28-Jun-2019","GCSP",0,"NA",1,"N","1","COUN_2_15_2"
"202","COUN",2,15,2,2019,"28-Jun-2019","GCSP",0,"NA",101,"N","2","COUN_2_15_2"
"203","COUN",2,15,2,2019,"28-Jun-2019","GCSP",8,"NA",101,"N","1","COUN_2_15_2"
"204","COUN",2,15,2,2019,"28-Jun-2019","LALO",1,"NA",1,"N","2","COUN_2_15_2"
"205","COUN",2,15,2,2019,"28-Jun-2019","SAVS",0,"NA",101,"N","1","COUN_2_15_2"
"206","KOUG",3,16,2,2019,"18-Jul-2019","AMGP",0,"40",NA,"N","1","KOUG_3_16_2"
"207","KOUG",1,17,2,2019,"4-Jun-2019","LALO",0,"NA",1,"N","1","KOUG_1_17_2"
"208","KOUG",1,17,2,2019,"4-Jun-2019","LALO",0,"NA",1,"N","1","KOUG_1_17_2"
"209","KOUG",1,17,2,2019,"4-Jun-2019","LALO",0,"NA",1,"N","1","KOUG_1_17_2"
"210","KOUG",1,17,2,2019,"4-Jun-2019","LALO",0,"NA",101,"N","1","KOUG_1_17_2"
"211","KOUG",1,17,2,2019,"4-Jun-2019","LALO",7,"NA",1,"N","1","KOUG_1_17_2"
"212","KOUG",1,17,2,2019,"4-Jun-2019","SAVS",0,"NA",101,"N","1","KOUG_1_17_2"
"213","KOUG",1,17,2,2019,"4-Jun-2019","WIPT",2,"300",NA,"N","1","KOUG_1_17_2"
"214","KOUG",1,17,2,2019,"4-Jun-2019","WIPT",4,"300",NA,"N","1","KOUG_1_17_2"
"215","COUN",4,19,2,2019,"15-Jun-2019","AMGP",0,"65",NA,"N","1","COUN_4_19_2"
"216","COUN",4,19,2,2019,"15-Jun-2019","CORE",0,"NA",1,"N","1","COUN_4_19_2"
"217","COUN",4,19,2,2019,"15-Jun-2019","LALO",2,"NA",1,"N","2","COUN_4_19_2"
"218","COUN",4,19,2,2019,"15-Jun-2019","SAVS",6,"NA",1,"N","1","COUN_4_19_2"
"219","COUN",4,19,2,2019,"15-Jun-2019","WESA",6,"NA",1,"N","3","COUN_4_19_2"
"220","TELL",3,21,2,2019,"1-Jun-2019","ATSP",6,"NA",1,"N","1","TELL_3_21_2"
"221","TELL",3,21,2,2019,"1-Jun-2019","FOSP",0,"NA",1,"N","1","TELL_3_21_2"
"222","TELL",3,21,2,2019,"1-Jun-2019","FOSP",1,"NA",101,"N","1","TELL_3_21_2"
"223","TELL",3,21,2,2019,"1-Jun-2019","GCSP",0,"NA",101,"N","2","TELL_3_21_2"
"224","TELL",3,21,2,2019,"1-Jun-2019","GCSP",0,"NA",1,"N","1","TELL_3_21_2"
"225","TELL",3,21,2,2019,"1-Jun-2019","LALO",0,"NA",1,"N","1","TELL_3_21_2"
"226","TELL",3,21,2,2019,"1-Jun-2019","LALO",7,"NA",1,"N","1","TELL_3_21_2"
"227","TELL",3,21,2,2019,"1-Jun-2019","PAGP",3,"250",NA,"N","1","TELL_3_21_2"
"228","TELL",3,21,2,2019,"1-Jun-2019","SAVS",0,"NA",1,"N","1","TELL_3_21_2"
"229","TELL",3,21,2,2019,"1-Jun-2019","SAVS",1,"NA",101,"N","1","TELL_3_21_2"
"230","TELL",3,21,2,2019,"1-Jun-2019","WIWA",1,"NA",1,"N","1","TELL_3_21_2"
"231","TELL",5,23,2,2019,"20-May-2019","AMRO",3,"200",NA,"N","1","TELL_5_23_2"
"232","TELL",5,23,2,2019,"20-May-2019","FOSP",0,"NA",101,"N","1","TELL_5_23_2"
"233","KOUG",5,10,3,2019,"1-Jul-2019","ATSP",4,"NA",101,"N","1","KOUG_5_10_3"
"234","KOUG",5,10,3,2019,"1-Jul-2019","PAGP",1,"159",NA,"N","1","KOUG_5_10_3"
"235","KOUG",5,10,3,2019,"1-Jul-2019","SACR",8,"300",NA,"N","2","KOUG_5_10_3"
"236","KOUG",5,17,3,2019,"17-Jun-2019","ATSP",1,"NA",101,"N","1","KOUG_5_17_3"
"237","KOUG",5,17,3,2019,"17-Jun-2019","GCTH",6,"NA",101,"N","1","KOUG_5_17_3"
"238","KOUG",5,17,3,2019,"17-Jun-2019","LALO",0,"NA",1,"N","2","KOUG_5_17_3"
"239","KOUG",5,17,3,2019,"17-Jun-2019","SAVS",0,"NA",101,"N","1","KOUG_5_17_3"
"240","KOUG",1,3,3,2019,"3-Jun-2019","ATSP",0,"NA",1,"N","2","KOUG_1_3_3"
"241","KOUG",1,3,3,2019,"3-Jun-2019","BLUE",0,"NA",101,"N","1","KOUG_1_3_3"
"242","KOUG",1,3,3,2019,"3-Jun-2019","BTCU",6,"400",NA,"N","1","KOUG_1_3_3"
"243","KOUG",1,3,3,2019,"3-Jun-2019","FOSP",0,"NA",1,"N","1","KOUG_1_3_3"
"244","KOUG",1,3,3,2019,"3-Jun-2019","FOSP",1,"NA",101,"N","1","KOUG_1_3_3"
"245","KOUG",1,3,3,2019,"3-Jun-2019","GCSP",7,"NA",1,"N","1","KOUG_1_3_3"
"246","KOUG",1,3,3,2019,"3-Jun-2019","SAVS",0,"NA",1,"N","1","KOUG_1_3_3"
"247","KOUG",1,3,3,2019,"3-Jun-2019","WCSP",0,"NA",101,"N","1","KOUG_1_3_3"
"248","KOUG",1,3,3,2019,"3-Jun-2019","WIWA",0,"NA",1,"N","1","KOUG_1_3_3"
"249","COUN",1,3,3,2019,"12-Jun-2019","ARWA",0,"NA",1,"N","1","COUN_1_3_3"
"250","COUN",1,3,3,2019,"12-Jun-2019","ARWA",0,"NA",101,"N","1","COUN_1_3_3"
