ROAD_ID,UNIT_ID,TRANSECT_ID,POINT_ID,SURVEY_YEAR,SURVEY_DATE,SPECIES_ALPHA_CODE,TIME_INTERVAL,SIGHTING_ANGLE,EXACT_DISTANCE,DISTANCE_CATEGORY,FLYOVER,DISPLAY/USING AREA,SEX,DETECTION_TYPE,GROUP_SIZE,NOTES
COUN,C3,T14,13,2021,8-May-21,ATSP,8,NA,NA,101,N,,U,A,1,
COUN,C3,T14,13,2021,8-May-21,YRWA,8,NA,NA,101,N,,U,A,1,
COUN,C3,T14,2,2021,8-May-21,ATSP,1,NA,NA,1,N,,U,AV,5,
COUN,C3,T14,2,2021,8-May-21,NSHR,2,222,166,NA,N,,U,V,1,
COUN,C3,T14,2,2021,8-May-21,AMPI,4,NA,NA,1,N,,U,AV,1,
COUN,C3,T14,2,2021,8-May-21,CORE,7,NA,NA,NA,Y,,U,AV,2,
COUN,C3,T14,3,2021,8-May-21,AMPI,0,NA,NA,NA,Y,,U,A,1,
COUN,C3,T14,3,2021,8-May-21,SONG,4,NA,NA,NA,Y,,U,V,1,
COUN,C3,T14,3,2021,8-May-21,AMPI,7,NA,NA,101,N,,U,A,1,
COUN,C3,T14,5,2021,8-May-21,AMPI,1,NA,NA,NA,Y,,U,AV,1,
COUN,C3,T14,5,2021,8-May-21,AMPI,3,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,GCSP,0,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,ATSP,0,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,GCSP,0,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,WCSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,ATSP,0,NA,NA,1,N,,U,AV,1,
KOUG,K4,T28,5,2021,9-May-21,WIPT,0,333,220,NA,N,,M,A,1,
KOUG,K4,T28,5,2021,9-May-21,WIPT,1,292,290,NA,N,,M,A,1,
KOUG,K4,T28,5,2021,9-May-21,CORE,1,NA,NA,NA,Y,,U,A,2,
KOUG,K4,T28,5,2021,9-May-21,GCSP,3,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,5,2021,9-May-21,WIPT,4,215,350,NA,N,,M,A,1,
KOUG,K4,T28,5,2021,9-May-21,WIPT,5,251,244,NA,N,,M,A,1,
KOUG,K4,T28,4,2021,9-May-21,AMRO,0,299,120,NA,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,GCSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,CORE,1,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,FOSP,2,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,FOSP,2,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,CORE,2,NA,NA,101,N,,U,V,1,
KOUG,K4,T28,4,2021,9-May-21,WCSP,3,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,WIPT,3,208,380,NA,N,,M,A,1,
KOUG,K4,T28,4,2021,9-May-21,GCSP,4,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,WCSP,4,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,ATSP,4,NA,NA,1,N,,U,V,1,
KOUG,K4,T28,4,2021,9-May-21,ATSP,4,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,AMRO,6,13,95,NA,N,,U,A,1,
KOUG,K4,T28,4,2021,9-May-21,WISN,7,NA,NA,NA,Y,,U,A,1,WINNOWING FLIGHT ALL
KOUG,K4,T28,4,2021,9-May-21,ROPT,9,65,450,NA,N,,M,A,1,
KOUG,K4,T28,8,2021,9-May-21,GCSP,0,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,8,2021,9-May-21,ATSP,0,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,8,2021,9-May-21,CGSP,1,NA,NA,201,N,,U,A,1,
KOUG,K4,T28,8,2021,9-May-21,CORE,3,NA,NA,NA,Y,,U,V,1,
KOUG,K4,T28,8,2021,9-May-21,WIPT,4,29,400,NA,N,,U,A,1,
KOUG,K4,T28,8,2021,9-May-21,WISN,7,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T28,8,2021,9-May-21,ROPT,9,345,1001,NA,N,,M,V,1,
KOUG,K4,T28,11,2021,9-May-21,GCSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,AMRO,0,214,127,NA,N,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,ATSP,1,NA,NA,101,N,,U,A,1,
