"","id","year","species","time_int","distance","dist_cat","flyover","count","display"
"177","COUN_2_1_2",2019,"VATH","1","NA",101,"N","1","NA"
"178","COUN_2_1_2",2019,"YEWA","0","NA",1,"N","1","NA"
"179","TELL_1_6_2",2019,"BTGO","5","200",NA,"N","1","NA"
"180","TELL_1_6_2",2019,"LALO","0","NA",1,"N","2","NA"
"181","TELL_1_6_2",2019,"LTJA","1","329",NA,"N","1","NA"
"182","TELL_1_6_2",2019,"SAVS","0","NA",1,"N","1","NA"
"183","TELL_1_6_2",2019,"SAVS","9","NA",1,"N","1","NA"
"184","TELL_1_6_2",2019,"WESA","0","NA",1,"N","1","NA"
"185","TELL_5_10_2",2019,"FOSP","0","NA",101,"N","1","NA"
"186","TELL_5_10_2",2019,"GCSP","0","NA",1,"N","2","NA"
"187","TELL_5_10_2",2019,"GCSP","2","NA",1,"N","1","NA"
"188","TELL_5_10_2",2019,"GCTH","0","NA",1,"N","1","NA"
"189","TELL_5_10_2",2019,"GCTH","4","NA",101,"N","1","NA"
"190","TELL_5_10_2",2019,"WIWA","5","NA",101,"N","1","NA"
"191","TELL_5_10_2",2019,"WIWA","5","NA",101,"N","1","NA"
"192","COUN_4_12_2",2019,"GLGU","1","200",NA,"N","12","NA"
"193","COUN_4_12_2",2019,"SAVS","4","NA",1,"N","1","NA"
"194","KOUG_5_13_2",2019,"AMGP","6","300",NA,"N","1","NA"
"195","KOUG_5_13_2",2019,"AMPI","2","NA",1,"N","1","NA"
"196","KOUG_5_13_2",2019,"GCSP","0","NA",101,"N","1","NA"
"197","KOUG_5_13_2",2019,"GCSP","4","NA",101,"N","1","NA"
"198","KOUG_5_13_2",2019,"SAVS","0","NA",1,"N","1","NA"
"199","KOUG_5_13_2",2019,"SAVS","2","NA",101,"N","1","NA"
"200","KOUG_5_13_2",2019,"YEWA","0","NA",101,"N","1","NA"
"201","COUN_2_15_2",2019,"GCSP","0","NA",1,"N","1","NA"
"202","COUN_2_15_2",2019,"GCSP","0","NA",101,"N","2","NA"
"203","COUN_2_15_2",2019,"GCSP","8","NA",101,"N","1","NA"
"204","COUN_2_15_2",2019,"LALO","1","NA",1,"N","2","NA"
"205","COUN_2_15_2",2019,"SAVS","0","NA",101,"N","1","NA"
"206","KOUG_3_16_2",2019,"AMGP","0","40",NA,"N","1","NA"
"207","KOUG_1_17_2",2019,"LALO","0","NA",1,"N","1","NA"
"208","KOUG_1_17_2",2019,"LALO","0","NA",1,"N","1","NA"
"209","KOUG_1_17_2",2019,"LALO","0","NA",1,"N","1","NA"
"210","KOUG_1_17_2",2019,"LALO","0","NA",101,"N","1","NA"
"211","KOUG_1_17_2",2019,"LALO","7","NA",1,"N","1","NA"
"212","KOUG_1_17_2",2019,"SAVS","0","NA",101,"N","1","NA"
"213","KOUG_1_17_2",2019,"WIPT","2","300",NA,"N","1","NA"
"214","KOUG_1_17_2",2019,"WIPT","4","300",NA,"N","1","NA"
"215","COUN_4_19_2",2019,"AMGP","0","65",NA,"N","1","NA"
"216","COUN_4_19_2",2019,"CORE","0","NA",1,"N","1","NA"
"217","COUN_4_19_2",2019,"LALO","2","NA",1,"N","2","NA"
"218","COUN_4_19_2",2019,"SAVS","6","NA",1,"N","1","NA"
"219","COUN_4_19_2",2019,"WESA","6","NA",1,"N","3","NA"
"220","TELL_3_21_2",2019,"ATSP","6","NA",1,"N","1","NA"
"221","TELL_3_21_2",2019,"FOSP","0","NA",1,"N","1","NA"
"222","TELL_3_21_2",2019,"FOSP","1","NA",101,"N","1","NA"
"223","TELL_3_21_2",2019,"GCSP","0","NA",101,"N","2","NA"
"224","TELL_3_21_2",2019,"GCSP","0","NA",1,"N","1","NA"
"225","TELL_3_21_2",2019,"LALO","0","NA",1,"N","1","NA"
"226","TELL_3_21_2",2019,"LALO","7","NA",1,"N","1","NA"
"227","TELL_3_21_2",2019,"PAGP","3","250",NA,"N","1","NA"
"228","TELL_3_21_2",2019,"SAVS","0","NA",1,"N","1","NA"
"229","TELL_3_21_2",2019,"SAVS","1","NA",101,"N","1","NA"
"230","TELL_3_21_2",2019,"WIWA","1","NA",1,"N","1","NA"
"231","TELL_5_23_2",2019,"AMRO","3","200",NA,"N","1","NA"
"232","TELL_5_23_2",2019,"FOSP","0","NA",101,"N","1","NA"
"233","KOUG_5_10_3",2019,"ATSP","4","NA",101,"N","1","NA"
"234","KOUG_5_10_3",2019,"PAGP","1","159",NA,"N","1","NA"
"235","KOUG_5_10_3",2019,"SACR","8","300",NA,"N","2","NA"
"236","KOUG_5_17_3",2019,"ATSP","1","NA",101,"N","1","NA"
"237","KOUG_5_17_3",2019,"GCTH","6","NA",101,"N","1","NA"
"238","KOUG_5_17_3",2019,"LALO","0","NA",1,"N","2","NA"
"239","KOUG_5_17_3",2019,"SAVS","0","NA",101,"N","1","NA"
"240","KOUG_1_3_3",2019,"ATSP","0","NA",1,"N","2","NA"
"241","KOUG_1_3_3",2019,"BLUE","0","NA",101,"N","1","NA"
"242","KOUG_1_3_3",2019,"BTCU","6","400",NA,"N","1","NA"
"243","KOUG_1_3_3",2019,"FOSP","0","NA",1,"N","1","NA"
"244","KOUG_1_3_3",2019,"FOSP","1","NA",101,"N","1","NA"
"245","KOUG_1_3_3",2019,"GCSP","7","NA",1,"N","1","NA"
"246","KOUG_1_3_3",2019,"SAVS","0","NA",1,"N","1","NA"
"247","KOUG_1_3_3",2019,"WCSP","0","NA",101,"N","1","NA"
"248","KOUG_1_3_3",2019,"WIWA","0","NA",1,"N","1","NA"
"249","COUN_1_3_3",2019,"ARWA","0","NA",1,"N","1","NA"
"250","COUN_1_3_3",2019,"ARWA","0","NA",101,"N","1","NA"
"251","COUN_1_3_3",2019,"FOSP","0","NA",1,"N","1","NA"
"252","COUN_1_3_3",2019,"GCTH","0","NA",1,"N","1","NA"
"253","COUN_1_3_3",2019,"SAVS","1","NA",1,"N","1","NA"
"254","COUN_1_3_3",2019,"YEWA","0","NA",1,"N","1","NA"
"255","TELL_4_9_3",2019,"GCSP","0","NA",101,"N","1","NA"
"256","TELL_4_9_3",2019,"LALO","1","NA",1,"N","1","NA"
"257","TELL_4_9_3",2019,"LALO","4","NA",101,"N","1","NA"
"258","TELL_4_9_3",2019,"SAVS","0","NA",101,"N","1","NA"
"259","TELL_4_9_3",2019,"SAVS","4","NA",101,"N","1","NA"
"260","TELL_4_9_3",2019,"WIPT","7","300",NA,"N","1","NA"
"261","TELL_5_10_3",2019,"AMPI","3","NA",101,"N","2","NA"
"262","TELL_5_10_3",2019,"AMRO","9","250",NA,"N","1","NA"
"263","TELL_5_10_3",2019,"FOSP","0","NA",1,"N","1","NA"
"264","TELL_5_10_3",2019,"FOSP","1","NA",101,"N","1","NA"
"265","TELL_5_10_3",2019,"GCSP","0","NA",101,"N","1","NA"
"266","TELL_5_10_3",2019,"LALO","2","NA",1,"N","1","NA"
"267","TELL_5_10_3",2019,"LALO","3","NA",1,"N","1","NA"
"268","TELL_5_10_3",2019,"SAVS","1","NA",101,"N","2","NA"
"269","KOUG_5_13_3",2019,"AMPI","1","NA",101,"N","1","NA"
"270","KOUG_5_13_3",2019,"CORE","3","NA",1,"N","1","NA"
"271","KOUG_5_13_3",2019,"GCSP","7","NA",101,"N","1","NA"
"272","KOUG_5_13_3",2019,"SAVS","0","NA",1,"N","1","NA"
"273","KOUG_5_13_3",2019,"SAVS","3","NA",1,"N","2","NA"
"274","KOUG_3_16_3",2019,"CORE","0","NA",1,"N","1","NA"
"275","KOUG_3_16_3",2019,"CORE","0","NA",1,"N","1","NA"
"276","COUN_3_19_3",2019,"GCSP","0","NA",101,"N","1","NA"
"277","COUN_3_19_3",2019,"SAVS","4","NA",101,"N","1","NA"
"278","COUN_3_19_3",2019,"WIPT","7","125",NA,"N","1","NA"
"279","KOUG_3_20_3",2019,"AMRO","3","120",NA,"N","1","NA"
"280","KOUG_3_20_3",2019,"CORE","3","NA",1,"N","1","NA"
"281","KOUG_3_20_3",2019,"FOSP","0","NA",1,"N","1","NA"
"282","KOUG_3_20_3",2019,"FOSP","2","NA",101,"N","1","NA"
"283","KOUG_3_20_3",2019,"FOSP","4","NA",1,"N","1","NA"
"284","KOUG_3_20_3",2019,"FOSP","7","NA",101,"N","1","NA"
"285","KOUG_3_20_3",2019,"GCSP","0","NA",1,"N","1","NA"
"286","KOUG_3_20_3",2019,"GCSP","4","NA",1,"N","1","NA"
"287","KOUG_3_20_3",2019,"GCSP","9","NA",101,"N","1","NA"
"288","KOUG_3_20_3",2019,"VATH","2","NA",1,"N","1","NA"
"289","KOUG_3_20_3",2019,"VATH","2","NA",1,"N","1","NA"
"290","KOUG_3_20_3",2019,"VATH","7","NA",101,"N","1","NA"
"291","KOUG_3_20_3",2019,"WIPT","0","150",NA,"N","1","NA"
"292","KOUG_3_20_3",2019,"WIPT","1","200",NA,"N","1","NA"
"293","KOUG_3_20_3",2019,"YEWA","5","NA",1,"N","1","NA"
"294","TELL_3_21_3",2019,"AMGP","4","200",NA,"N","1","NA"
"295","TELL_3_21_3",2019,"BLUE","2","NA",101,"N","1","NA"
"296","TELL_3_21_3",2019,"GCSP","2","NA",101,"N","2","NA"
"297","TELL_3_21_3",2019,"GCSP","6","NA",101,"N","1","NA"
"298","TELL_3_21_3",2019,"LALO","0","NA",1,"N","2","NA"
"299","TELL_3_21_3",2019,"LALO","7","NA",101,"N","1","NA"
"300","TELL_3_21_3",2019,"LALO","8","NA",101,"N","1","NA"
"301","TELL_3_21_3",2019,"SAVS","2","NA",101,"N","1","NA"
"302","TELL_3_21_3",2019,"SQUIR","9","98",NA,"N","1","NA"
"303","KOUG_3_21_3",2019,"CORE","2","NA",101,"N","1","NA"
"304","KOUG_3_21_3",2019,"SQUIR","0","43",NA,"N","1","NA"
"305","KOUG_3_21_3",2019,"SQUIR","0","29",NA,"N","1","NA"
"306","KOUG_3_21_3",2019,"YEWA","8","NA",101,"N","1","NA"
"307","TELL_5_23_3",2019,"FOSP","0","NA",101,"N","1","NA"
"308","TELL_5_23_3",2019,"FOSP","0","NA",1,"N","1","NA"
"309","TELL_5_23_3",2019,"GCSP","3","NA",101,"N","1","NA"
"310","TELL_5_23_3",2019,"GCSP","5","NA",101,"N","1","NA"
"311","TELL_5_23_3",2019,"LALO","0","NA",1,"N","2","NA"
"312","TELL_5_23_3",2019,"LALO","1","NA",1,"N","1","NA"
"313","TELL_5_23_3",2019,"SAVS","0","NA",1,"N","1","NA"
"314","TELL_5_23_3",2019,"SAVS","1","NA",1,"N","1","NA"
"315","TELL_5_23_3",2019,"SAVS","2","NA",1,"N","1","NA"
"316","KOUG_5_10_4",2019,"ATSP","4","NA",101,"N","1","NA"
"317","KOUG_5_10_4",2019,"LALO","4","NA",1,"N","1","NA"
"318","KOUG_5_10_4",2019,"PAGP","0","159",NA,"N","1","NA"
"319","KOUG_5_10_4",2019,"SAVS","0","NA",1,"N","1","NA"
"320","KOUG_5_10_4",2019,"WESA","0","NA",1,"N","1","NA"
"321","COUN_3_12_4",2019,"AMRO","5","250",NA,"N","1","NA"
"322","COUN_3_12_4",2019,"ATSP","5","NA",101,"N","1","NA"
"323","COUN_3_12_4",2019,"ATSP","9","NA",1,"N","1","NA"
"324","COUN_3_12_4",2019,"CORE","2","NA",101,"N","1","NA"
"325","COUN_3_12_4",2019,"LALO","0","NA",101,"N","1","NA"
"326","COUN_3_12_4",2019,"LALO","0","NA",1,"N","1","NA"
"327","COUN_3_12_4",2019,"WHIM","6","300",NA,"N","1","NA"
"328","COUN_3_12_4",2019,"WIPT","7","300",NA,"N","1","NA"
"329","KOUG_5_17_4",2019,"ARWA","9","NA",1,"N","1","NA"
"330","KOUG_5_17_4",2019,"ATSP","0","NA",1,"N","1","NA"
"331","KOUG_5_17_4",2019,"ATSP","2","NA",1,"N","1","NA"
"332","KOUG_5_17_4",2019,"CORE","6","NA",1,"N","2","NA"
"333","KOUG_5_17_4",2019,"GCTH","0","NA",1,"N","1","NA"
"334","KOUG_5_17_4",2019,"LALO","0","NA",1,"N","1","NA"
"335","KOUG_5_17_4",2019,"LALO","4","NA",1,"N","1","NA"
"336","KOUG_5_17_4",2019,"LTJA","9","208",NA,"N","2","NA"
"337","KOUG_5_17_4",2019,"SAVS","4","NA",1,"N","1","NA"
"338","KOUG_5_17_4",2019,"TUSW","2","112",NA,"N","1","NA"
"339","KOUG_5_17_4",2019,"WIPT","7","350",NA,"N","1","NA"
"340","COUN_1_3_4",2019,"AMRO","0","200",NA,"N","1","NA"
"341","COUN_1_3_4",2019,"CORE","2","NA",1,"N","1","NA"
"342","COUN_1_3_4",2019,"FOSP","4","NA",101,"N","1","NA"
"343","COUN_1_3_4",2019,"GCSP","4","NA",101,"N","1","NA"
"344","COUN_1_3_4",2019,"GCTH","0","NA",101,"N","1","NA"
"345","COUN_1_3_4",2019,"WIWA","0","NA",101,"N","1","NA"
"346","TELL_4_4_4",2019,"ATSP","0","NA",1,"N","2","NA"
"347","TELL_4_4_4",2019,"GCSP","0","NA",1,"N","1","NA"
"348","TELL_4_4_4",2019,"GCSP","3","NA",101,"N","1","NA"
"349","TELL_4_4_4",2019,"LALO","4","NA",101,"N","1","NA"
"350","TELL_4_4_4",2019,"WIPT","0","99",NA,"N","2","NA"
"351","TELL_4_4_4",2019,"WIPT","2","270",NA,"N","1","NA"
"352","TELL_4_4_4",2019,"WIPT","3","148",NA,"N","1","NA"
"353","TELL_4_4_4",2019,"WIPT","5","150",NA,"N","1","NA"
"354","TELL_4_4_4",2019,"WIPT","7","152",NA,"N","1","NA"
"355","TELL_4_4_4",2019,"WIPT","9","400",NA,"N","1","NA"
"356","COUN_4_10_4",2019,"GCSP","0","NA",101,"N","1","NA"
"357","COUN_4_10_4",2019,"LALO","2","NA",1,"N","1","NA"
"358","COUN_4_10_4",2019,"LALO","2","NA",1,"N","1","NA"
"359","COUN_4_10_4",2019,"LALO","7","NA",1,"N","3","NA"
"360","COUN_4_10_4",2019,"LALO","9","NA",101,"N","2","NA"
"361","COUN_4_10_4",2019,"WIPT","3","400",NA,"N","1","NA"
"362","COUN_4_10_4",2019,"WIPT","9","200",NA,"N","1","NA"
"363","TELL_5_10_4",2019,"AMRO","8","83",NA,"N","1","NA"
"364","TELL_5_10_4",2019,"GCSP","9","NA",1,"N","1","NA"
"365","TELL_5_10_4",2019,"SAVS","1","NA",1,"N","1","NA"
