Road_ID,UNIT_ID,Transect_ID,Point_ID,Year,Date,Species_Alpha_Code,Time_Interval,Sighting_angle,Exact_Distance,Distance_category,Flyover2,Sex,Detection_Type,Group size,Notes,Identity
TELL,01,03,11,2019,19-Jun-2019,LALO,9,-999,-999,1,N,U,AV,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,WIWA,0,-999,-999,101,N,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,WIWA,1,300,150,NA,N,M,A,1,,TELL-01-03-11-2019
TELL,04,04,14,2019,14-May-2019,CANG,2,-999,-999,201,N,U,A,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,CANG,9,-999,-999,NA,Y,U,A,2,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,LALO,1,-999,-999,101,N,U,A,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WHIM,0,115,200,NA,N,U,A,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WHIM,3,115,300,NA,N,U,A,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WIPT,0,189,103,NA,N,M,AV,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WIPT,4,353,400+,NA,N,U,V,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WIPT,5,325,400+,NA,N,U,V,2,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WIPT,6,238,190,NA,N,M,AV,1,,TELL-04-04-14-2019
TELL,04,04,14,2019,14-May-2019,WISN,2,-999,-999,NA,Y,U,A,1,,TELL-04-04-14-2019
TELL,01,03,16,2019,19-Jun-2019,CANG,3,-999,-999,NA,Y,U,AV,2,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,CORE,1,-999,-999,NA,Y,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,FOSP,2,-999,-999,201,N,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,FOSP,9,-999,-999,201,N,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,GCSP,1,-999,-999,201,N,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,LALO,0,-999,-999,1,N,U,AV,2,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,LALO,1,-999,-999,1,N,U,AV,3,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,LALO,7,-999,-999,1,N,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,SAVS,2,-999,-999,101,N,U,A,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,SAVS,6,-999,-999,1,N,U,VA,1,,TELL-01-03-16-2019
TELL,01,03,16,2019,19-Jun-2019,WISN,7,-999,-999,NA,Y,U,A,1,,TELL-01-03-16-2019
TELL,01,03,17,2019,19-Jun-2019,CANG,5,-999,-999,NA,Y,U,A,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,CORE,0,-999,-999,NA,Y,U,AV,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,FOSP,0,-999,-999,1,N,U,A,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,GCSP,0,-999,-999,1,N,U,A,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,GCSP,3,-999,-999,1,N,U,A,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,GCSP,7,-999,-999,1,N,U,AV,1,,TELL-01-03-17-2019
TELL,01,03,17,2019,19-Jun-2019,LALO,0,-999,-999,1,N,U,A,1,,TELL-01-03-17-2019
