
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2021-11-09T02:17:45Z,,64.451437946408987,-166.46381076425314,65.455984063446522,-163.67389814928174,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
39,64.855262031778693,-163.71399365365505,,2019-05-03T21:41:10Z,,,"C1_T14_26",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
40,64.856024449691176,-163.73645656742156,,2019-05-03T21:41:10Z,,,"C1_T14_27",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
41,64.860240798443556,-163.70196109637618,,2019-05-03T21:41:10Z,,,"C1_T14_28",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
42,64.861004641279578,-163.72442627325654,,2019-05-03T21:41:10Z,,,"C1_T14_29",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
43,64.806650849059224,-163.70996631681919,,2019-05-03T21:41:10Z,,,"C1_T14_3",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
44,64.810859570279717,-163.6755059659481,,2019-05-03T21:41:10Z,,,"C1_T14_4",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
45,64.81162584386766,-163.69794624857605,,2019-05-03T21:41:10Z,,,"C1_T14_5",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
46,64.812389519065619,-163.72038720175624,,2019-05-03T21:41:10Z,,,"C1_T14_6",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
47,64.816600335761905,-163.68592349812388,,2019-05-03T21:41:10Z,,,"C1_T14_7",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
48,64.817365519702435,-163.70836679823697,,2019-05-03T21:41:10Z,,,"C1_T14_8",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
49,64.818128105252981,-163.7308107689023,,2019-05-03T21:41:10Z,,,"C1_T14_9",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
50,64.831118211150169,-163.7965683080256,,2019-05-03T21:41:10Z,,,"C1_T15_1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
51,64.856784269213676,-163.75892023555934,,2019-05-03T21:41:10Z,,,"C1_T15_10",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
52,64.857541574165225,-163.78138465806842,,2019-05-03T21:41:10Z,,,"C1_T15_11",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
53,64.858296364545822,-163.80384983494878,,2019-05-03T21:41:10Z,,,"C1_T15_12",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
54,64.861765885725617,-163.74689220450819,,2019-05-03T21:41:10Z,,,"C1_T15_13",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
55,64.862524615600705,-163.76935889013112,,2019-05-03T21:41:10Z,,,"C1_T15_14",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
56,64.863280830904841,-163.79182641394436,,2019-05-03T21:41:10Z,,,"C1_T15_15",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
57,64.864034531638026,-163.81429460830986,,2019-05-03T21:41:10Z,,,"C1_T15_16",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
58,64.8667470831424,-163.73486157506704,,2019-05-03T21:41:10Z,,,"C1_T15_17",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
59,64.867507237941027,-163.75733052380383,,2019-05-03T21:41:10Z,,,"C1_T15_18",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
60,64.868264878168702,-163.7798002269119,,2019-05-03T21:41:10Z,,,"C1_T15_19",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
61,64.836100162938237,-163.78455125726759,,2019-05-03T21:41:10Z,,,"C1_T15_2",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
62,64.869020003825426,-163.80227076821029,,2019-05-03T21:41:10Z,,,"C1_T15_20",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
63,64.873248590156436,-163.76777152530849,,2019-05-03T21:41:10Z,,,"C1_T15_21",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
64,64.874005140736699,-163.7902442459017,,2019-05-03T21:41:10Z,,,"C1_T15_22",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
65,64.836854366585612,-163.80700578913093,,2019-05-03T21:41:10Z,,,"C1_T15_3",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
66,64.841837324202061,-163.7949884030968,,2019-05-03T21:41:10Z,,,"C1_T15_4",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
67,64.846820030361414,-163.78296833485365,,2019-05-03T21:41:10Z,,,"C1_T15_5",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
68,64.847574485465884,-163.80542823113501,,2019-05-03T21:41:10Z,,,"C1_T15_6",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
69,64.851043922826648,-163.74848417937756,,2019-05-03T21:41:10Z,,,"C1_T15_7",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
70,64.851802317425609,-163.77094558440149,,2019-05-03T21:41:10Z,,,"C1_T15_8",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
71,64.85255828127265,-163.79340774379671,,2019-05-03T21:41:10Z,,,"C1_T15_9",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
72,64.68694880604744,-163.82901415228844,,2019-05-03T21:41:10Z,,,"C1_T19_10",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
73,64.687696387991309,-163.85139567777514,,2019-05-03T21:41:10Z,,,"C1_T19_11",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
74,64.688441371545196,-163.87377787381411,,2019-05-03T21:41:10Z,,,"C1_T19_12",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
75,64.691170686855912,-163.79465589299798,,2019-05-03T21:41:10Z,,,"C1_T19_13",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
76,64.692671131342649,-163.83942263200879,,2019-05-03T21:41:10Z,,,"C1_T19_14",,,,"Flag, Red","user",,,,,,,,,,,SymbolAndName,,,2019-05-03T21:41:10Z,
